"Story","Title","Result","Date","Stability","Duration (s)"
"Viewing employee(s) details","Validating the ability to view an existing employee in an organization","SUCCESS","2021-08-22T16:57:14.423Z[Etc/UTC]","0.0","0.56"
"Viewing employee(s) details","Validating the ability to view all existing employee in an organization","ERROR","2021-08-22T16:57:21.809Z[Etc/UTC]","0.0","0.58"
